,YEAR,AC,CANDIDATE,SEX,PARTY,VOTES
66,1957,15 KARUNAGAPALLY,3 BABY JOHN,M,RSP,12307.0
67,1957,15 KARUNAGAPALLY,4 JANARDHANA KURUP G.,M,CPI,11369.0
68,1957,16 KRISHNAPURAM,1 KARTHIKEYAN G.,M,CPI,23963.0
69,1957,16 KRISHNAPURAM,2 SEKHARA PANICKER K.,M,INC,14493.0
70,1957,16 KRISHNAPURAM,3 IBRAHIMKUTTY C. M.,M,PSP,6707.0
71,1957,16 KRISHNAPURAM,4 YESODHARAN P. K.,M,RSP,1462.0
72,1957,17 KAYAMKULAM,1 AYSHA BAI K. O.,F,CPI,27067.0
73,1957,17 KAYAMKULAM,2 SAROJINI,F,INC,13138.0
74,1957,17 KAYAMKULAM,3 KUNJUKRISHNA PILLAI P.,M,PSP,10262.0
75,1957,18 KARTHIGAPALLY,1 SUGATHAN R.,M,CPI,20978.0
76,1957,18 KARTHIGAPALLY,2 VELU PILLAI G.,M,INC,14887.0
77,1957,18 KARTHIGAPALLY,3 ACHUTHAN A.,M,PSP,8520.0
78,1957,18 KARTHIGAPALLY,4 KUMARA PILLAI K. K.,M,RSP,3419.0
79,1957,19 HARIPAD,1 RAMAKRISHNA PILLAI V.,M,IND,20184.0
80,1957,19 HARIPAD,2 K. BALAGANGADHARAN,M,INC,15812.0
81,1957,19 HARIPAD,3 E. S. ALEXANDER,M,PSP,6249.0
82,1957,20 MAVELIKARA,1 KUNJACHAN P. K. (SC),M,CPI,44630.0
83,1957,20 MAVELIKARA,2 K. C. GEORGE,M,CPI,39617.0
84,1957,20 MAVELIKARA,2 K. C. GEORGE,M,CPI,39617.0
85,1957,20 MAVELIKARA,3 T. KANDAN KALI (SC),M,INC,21901.0
86,1957,20 MAVELIKARA,4 DANIEL M.,M,INC,19799.0
87,1957,20 MAVELIKARA,5 GOPINATHAN PILLAI G.,M,PSP,11877.0
88,1957,20 MAVELIKARA,6 N. KOCHURAMAN (SC),M,RSP,7661.0
89,1957,20 MAVELIKARA,7 N. S. PURUSHOTHAMAN (SC),M,PSP,5233.0
90,1957,20 MAVELIKARA,8 KUNJU KUNJU T. T. (SC),M,IND,4040.0
91,1957,20 MAVELIKARA,9 B. B. PANDARATHIL,M,RSP,3928.0
92,1957,21 KUNNATHUR,1 MADHAVAN PILLAI P. R.,M,CPI,41569.0
93,1957,21 KUNNATHUR,2 GOVINDAN R. (SC),M,CPI,37321.0
94,1957,21 KUNNATHUR,3 VELAYUDHAN NAIR K.,M,INC,29389.0
95,1957,21 KUNNATHUR,4 C. ACHUTHAN (SC),M,INC,25982.0
96,1957,21 KUNNATHUR,5 KRISHNA SASTRI K. S. (SC),M,RSP,11698.0
97,1957,21 KUNNATHUR,6 GOPALAN NAIR K.,M,PSP,10542.0
98,1957,21 KUNNATHUR,7 PHILIPOSE MUTHALALI N. P.,M,RSP,8092.0
99,1957,21 KUNNATHUR,8 KOCHUKUNJU (SC),M,PSP,5136.0
100,1957,22 KOTTARAKKARA,1 CHANDRASEKHARAN NAIR E.,M,CPI,23298.0
101,1957,22 KOTTARAKKARA,2 RAMACHANDRAN NAIR K.,M,INC,14307.0
102,1957,22 KOTTARAKKARA,3 VASUDEVAN C. V.,M,RSP,7101.0
103,1957,23 CHADAYAMANGALAM,1 BHARGAVAN K.,M,CPI,19375.0
104,1957,23 CHADAYAMANGALAM,2 ABDUL MAJEED M.,M,PSP,9143.0
105,1957,23 CHADAYAMANGALAM,3 ABBAS M.,M,INC,6663.0
106,1957,23 CHADAYAMANGALAM,4 CHANDRASEKHARAN PILLAI,M,RSP,2082.0
107,1957,24 PATHANAPURAM,1 RAJAGOPALAN NAIR,M,CPI,24499.0
108,1957,24 PATHANAPURAM,2 KUTTAN PILLAI K.,M,INC,14440.0
109,1957,24 PATHANAPURAM,3 DAMODARAN POTTI D.,M,PSP,9973.0
110,1957,24 PATHANAPURAM,4 RAGHAVAN PILLAI K. P.,M,RSP,1109.0
111,1957,25 PUNALUR,1 GOPALAN P.,M,CPI,20455.0
112,1957,25 PUNALUR,2 KUNJURAMAN ASSAN K.,M,INC,16366.0
113,1957,25 PUNALUR,3 MADHAVAN N.,M,RSP,1130.0
114,1957,26 RANNI,1 IDICULA,M,INC,23308.0
115,1957,26 RANNI,2 THOMAS MATHEW,M,IND,20722.0
116,1957,27 PATHANAMTHITTA,1 BHASKARA PILLAI P.,M,CPI,29001.0
117,1957,27 PATHANAMTHITTA,2 CHACKO (GEEVARGHESE) N. G.,M,INC,21353.0
118,1957,28 ARANMULA,1 GOPINATHAN PILLAI K.,M,INC,18895.0
119,1957,28 ARANMULA,2 VASUDEVAN N. C.,M,CPI,18630.0
120,1957,28 ARANMULA,3 S. R. SHARMA,M,PSP,2277.0
121,1957,29 KALLOOPPARA,1 M. M. MATHAI,M,INC,17874.0
122,1957,29 KALLOOPPARA,2 N. T. GEORGE,M,CPI,10843.0
123,1957,29 KALLOOPPARA,3 R. SUBRAMONIAN NAIR,M,PSP,9456.0
124,1957,29 KALLOOPPARA,4 DANIEL NINAN,M,IND,1068.0
125,1957,30 THIRUVALLA,1 G. PADMANABHAN THAMPI,M,CPI,22978.0
126,1957,30 THIRUVALLA,2 KURUVILA THOMAS T.,M,INC,20347.0
127,1957,30 THIRUVALLA,3 K. A. MATHEW,M,PSP,2058.0
128,1957,31 CHENGANNUR,1 SANKARANARAYANAN THAMPI R.,M,CPI,19538.0
129,1957,31 CHENGANNUR,2 SARASWATHI AMMA K.,F,INC,13546.0
130,1957,31 CHENGANNUR,3 RAMACHANDRAN NAIR C. K.,M,PSP,4134.0
131,1957,32 ALLEPPEY,1 THOMAS T. V.,M,CPI,26542.0
132,1957,32 ALLEPPEY,2 NAFEESA BEEVI A.,F,INC,22278.0
133,1957,32 ALLEPPEY,3 RAMA PAI N.,M,PSP,304.0
134,1957,33 MARARIKULAM,1 SADASIVAN C. G.,M,CPI,28153.0
135,1957,33 MARARIKULAM,2 JOSEPH MATHEN,M,INC,18350.0
136,1957,34 CHERTHALA,1 K. R. GOURI,F,CPI,26088.0
137,1957,34 CHERTHALA,2 A. SUBRAMONIAN PILLAI,M,INC,22756.0
